,title,city,address,stars,text,textTranslated,text_PL,text_EN
780,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Просто очень вкусно!,Po prostu bardzo smaczne!,Po prostu bardzo smaczne!,It's just very tasty!
781,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Z całego serca  nie polecam po zestawie dara z frytkami i surówkami za mną najgorsze 10 godzin.TRUJECIE LUDZI,,Z całego serca  nie polecam po zestawie dara z frytkami i surówkami za mną najgorsze 10 godzin.TRUJECIE LUDZI,"With all my heart, I don't recommend a gift set with chips and pig irons behind me for the worst 10 hours."
782,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",2,Do średniego i mega zapomnieli chyba dopisać mega płaski i średnio płaski. Kebab mega o grubości 2cm? Coś tu jest nie tak w tej placówce.,,Do średniego i mega zapomnieli chyba dopisać mega płaski i średnio płaski. Kebab mega o grubości 2cm? Coś tu jest nie tak w tej placówce.,I think they forgot to add mega flat and medium flat.
783,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Zmienili mięso wołowe na jakiś ohydny pasztet. Pierwszy raz zdarzyło mi się wywalić mięso z kebsa z Dary. Nie wiem kto wpadł na taki genialny pomysł, ale pozostaje mu tylko pogratulować.",,"Zmienili mięso wołowe na jakiś ohydny pasztet. Pierwszy raz zdarzyło mi się wywalić mięso z kebsa z Dary. Nie wiem kto wpadł na taki genialny pomysł, ale pozostaje mu tylko pogratulować.","I don't know who came up with such a brilliant idea, but all I have to do is congratulate him."
787,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Nie polecam. Bardzo niemiła obsługa. Nie udało się mi zamówić ponieważ byłem z małym psem. Chciałem złożyć zamówienie na wynos natomiast od razu na wejściu zostałem wyproszony ze względu na psa. Mimo zapewnień że wezmę go na ręce, zamówię i poczekam na zewnątrz nie zostałem wysłuchany. Pan powtarzał tylko ‚nie można z psem’ i zaproponował żeby zostawić go przed lokalem (nie wyobrażam sobie że ktoś jest w stanie tak zrobić). Warto pamiętać że ‚Przepisy prawa żywnościowego nie zakazują wprowadzania zwierząt domowych do zakładów gastronomicznych’ i jest to decyzja wyłącznie właściciela/obsługi. Wnioski można wyciągnąć samodzielnie",,"Nie polecam. Bardzo niemiła obsługa. Nie udało się mi zamówić ponieważ byłem z małym psem. Chciałem złożyć zamówienie na wynos natomiast od razu na wejściu zostałem wyproszony ze względu na psa. Mimo zapewnień że wezmę go na ręce, zamówię i poczekam na zewnątrz nie zostałem wysłuchany. Pan powtarzał tylko ‚nie można z psem’ i zaproponował żeby zostawić go przed lokalem (nie wyobrażam sobie że ktoś jest w stanie tak zrobić). Warto pamiętać że ‚Przepisy prawa żywnościowego nie zakazują wprowadzania zwierząt domowych do zakładów gastronomicznych’ i jest to decyzja wyłącznie właściciela/obsługi. Wnioski można wyciągnąć samodzielnie","I didn't manage to order because I was with a small dog. I wanted to place an order for take-out at the entrance, but I was asked to leave it at the entrance because of the dog. Despite the assurances that I would take it on my hands, order it and wait outside I was not listened to. You only repeated it with the dog and proposed to leave it in front of the premises (I can't imagine anyone is able to do it). It is worth remembering that food law regulations do not prohibit pets from entering the catering establishments and this is a decision only by the owner/service."
788,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Gwiazdki tylko za klimat bo czysto . Jakość mięsa bardzo słaba.,ale bukiet surówek ponad wszystko. Danie Kebabik dla dzieci trochę dziwne. Rzucanie produktem który mam kupić trochę nie na miejscu. To już tylko maszynka do zarabiania pieniędzy. Nie polecam.",,"Gwiazdki tylko za klimat bo czysto . Jakość mięsa bardzo słaba.,ale bukiet surówek ponad wszystko. Danie Kebabik dla dzieci trochę dziwne. Rzucanie produktem który mam kupić trochę nie na miejscu. To już tylko maszynka do zarabiania pieniędzy. Nie polecam.","Stars only for the climate because pure. Meat quality very weak.,but a bouquet of pig irons above all. Kababik dish for children a little strange. Throwing a product that I have to buy a little out of place. It's just a machine to make money. I don't recommend."
790,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Nie polecam!! Kiedyś bardzo lubiałam ale teraz to tragedia, mięso smakuje jak jakaś mielonka,  trzy dni po zjedzeniu kebaba bolał mnie brzuch.",,"Nie polecam!! Kiedyś bardzo lubiałam ale teraz to tragedia, mięso smakuje jak jakaś mielonka,  trzy dni po zjedzeniu kebaba bolał mnie brzuch.","I didn't recommend it!!! I used to like it very much but now it's a tragedy, meat tastes like spam, three days after eating kebabs my stomach hurts."
791,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Nie polecam. Nie ma praktycznie mięsa. Sama surówka i ciasto.,,Nie polecam. Nie ma praktycznie mięsa. Sama surówka i ciasto.,"I don't recommend it, there's practically no meat."
792,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",3,Średni kebab przeciętna kula mocy,,Średni kebab przeciętna kula mocy,Medium kebab average ball power
793,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Obsługa jest miła, ale ceny w porówaniu do ilości już gorzej kiedyś faktycznie za 20 zł porcja była ogromna a teraz jest znacznie mniejsza.
Ale zdecydowanie jest dobrze",,"Obsługa jest miła, ale ceny w porówaniu do ilości już gorzej kiedyś faktycznie za 20 zł porcja była ogromna a teraz jest znacznie mniejsza.
Ale zdecydowanie jest dobrze","The service is nice, but the prices in comparison to the amount already worse actually for 20 zł the portion was huge and now it is much smaller. But it is definitely good"
794,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Jedzenie w tym miejscu to samo dno i trzy metry mułu!!!Poza tym obsługa i miejsce fajne!!!,,Jedzenie w tym miejscu to samo dno i trzy metry mułu!!!Poza tym obsługa i miejsce fajne!!!,Food in this place is the same bottom and three meters of slime!!!Apart from that service and a nice place!!
798,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Dobre kebaby robią,,Dobre kebaby robią,Good kebabs do
803,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,👍,,👍,- What's up?
804,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo dobry kebab🔥,,Bardzo dobry kebab🔥,Very good kebab.
806,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Wszystko świeże i smaczne,,Wszystko świeże i smaczne,All fresh and tasty
809,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,bardzo dobre,,bardzo dobre,very good
810,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo smaczny kebab polecam,,Bardzo smaczny kebab polecam,Very tasty kebab recommended
813,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Very good KEBAB 👍🏼,Bardzo dobry KEBAB 👍🏼,Bardzo dobry KEBAB 👍🏼,Very good KEBAB
814,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Polecam to miejsce 👌,,Polecam to miejsce 👌,I recommend this place.
818,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,👌👍,,👌👍,"Okay, okay."
819,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Super kebaby,Super kebab,Super kebab,Super kebab
820,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Duży wybór, świeżo, smacznie, bezpieczne jedzenie jeżeli jest przed tobą dłuższa trasa 😉",,"Duży wybór, świeżo, smacznie, bezpieczne jedzenie jeżeli jest przed tobą dłuższa trasa 😉","Large selection, fresh, tasty, safe food if there is a longer route ahead of you."
822,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Kebab miał być z wołowiną a zapach od,,Kebab miał być z wołowiną a zapach od,Kebab was supposed to be with beef and smell from
823,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Nie polecam. Kebab poprostu nie dobry. Ha twu nigdy więcej od nich.,,Nie polecam. Kebab poprostu nie dobry. Ha twu nigdy więcej od nich.,Kebab's just not good.
824,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",4,Było by 5 gwiazdek gdyby można było zamówić przez telefon i duży kebab był trochę większy. Poza tym wszystko ok :),,Było by 5 gwiazdek gdyby można było zamówić przez telefon i duży kebab był trochę większy. Poza tym wszystko ok :),"There would be 5 stars if you could order over the phone and the big kebab was a little bigger. Besides, it's okay:)"
827,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Jeden kebab ociekał tłuszczem, drugi był rozmokniety, a trzeci bez sera (za który było dodatkowo zapłacone), nie polecam",,"Jeden kebab ociekał tłuszczem, drugi był rozmokniety, a trzeci bez sera (za który było dodatkowo zapłacone), nie polecam","One kebab dripping with fat, the other was soaked, and the third without cheese (for which it was additionally paid), I do not recommend"
828,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",2,"Niestety,nie jest to ta sama Dara co kiedyś. Śladowe ilości mięsa,zatuszowane duża ilością kapusty i innych warzyw. Obsługa nie podaje nr zamowienia,a potem jest chaos. Raczej nie polecam",,"Niestety,nie jest to ta sama Dara co kiedyś. Śladowe ilości mięsa,zatuszowane duża ilością kapusty i innych warzyw. Obsługa nie podaje nr zamowienia,a potem jest chaos. Raczej nie polecam","Unfortunately, it's not the same Dara as it used to be. Trace amounts of meat, covered with lots of cabbage and other vegetables. Service doesn't give order number and then there's chaos. I don't recommend it."
829,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Mięso zimne, zmielone jakby z trotami rozpada sie w ustach. Frytki zimne, odleżane i twarde. Dałem darze ostatnią szansę i ten ostatni wypadł najgorzej ze wszystkich pozostałych. 2/10 oceniam i nie dojadłem do końca bo sie nie dało. Jedyne co to przynajmniej w lokalu nie śmierdzi ale to jedyna cecha tego miejsca.",,"Mięso zimne, zmielone jakby z trotami rozpada sie w ustach. Frytki zimne, odleżane i twarde. Dałem darze ostatnią szansę i ten ostatni wypadł najgorzej ze wszystkich pozostałych. 2/10 oceniam i nie dojadłem do końca bo sie nie dało. Jedyne co to przynajmniej w lokalu nie śmierdzi ale to jedyna cecha tego miejsca.","Cold meat, ground as if with trots falls apart in the mouth. Fries cold, lying down and hard. I gave the gift one last chance and the latter fell out the worst of all others. 2/10 I judge and didn't finish because I couldn't. The only thing that at least doesn't stink at the place but it's the only feature of this place."
831,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"mięso bez smaku mięsa,frytki twarde obsługa nie rozumie co do nich mówisz
jedynie co pociesza to czysty lokal poza tym dramat",,"mięso bez smaku mięsa,frytki twarde obsługa nie rozumie co do nich mówisz
jedynie co pociesza to czysty lokal poza tym dramat","meat tasteless meat, fries hard staff don't understand what you're saying to them only comforts it's a clean place besides drama"
833,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Wszyscy chwała ale tak na prawdę nie wiem dlaczego jest dużo innych dobrych kebabów w Rzeszowie a dara do totalne dno kenabowe,,Wszyscy chwała ale tak na prawdę nie wiem dlaczego jest dużo innych dobrych kebabów w Rzeszowie a dara do totalne dno kenabowe,All praises but I don't really know why there are many other good kebabs in Rzeszow and gifts to the total kenab bottom
834,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Mało drogo niesmacznie jest dużo więcej miejsc do zjedzenia niż tu nie polecam,,Mało drogo niesmacznie jest dużo więcej miejsc do zjedzenia niż tu nie polecam,A lot more places to eat than I recommend.
836,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"nigdy, nigdy nie jadłem nic gorszego; to chyba nawet nie jest kebab - gdzie mięso ??????!!!!!!; smak - wolałbym zjeść gotowane ziemniaki z samej wody; ludzie, ogarnijcie się z tymi pozytywnymi opiniami - nie wprowadzajcie w błąd;",,"nigdy, nigdy nie jadłem nic gorszego; to chyba nawet nie jest kebab - gdzie mięso ??????!!!!!!; smak - wolałbym zjeść gotowane ziemniaki z samej wody; ludzie, ogarnijcie się z tymi pozytywnymi opiniami - nie wprowadzajcie w błąd;","I've never eaten anything worse; it's probably not even a kebab - where meat?????!!!; taste - I'd rather eat cooked potatoes from the water itself; people, get rid of these positive opinions - do not mislead;"
837,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Dobre żarełko fajna obsługa duży parking,,Dobre żarełko fajna obsługa duży parking,Good food cool service big parking
839,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,zawsze spóźnione dostawy nawet o 2h zamawiam już któryś raz i zawsze zamówienie się spóźnia do tego gdy próbuje się skontaktować z lokalem to nie odbierają,,zawsze spóźnione dostawy nawet o 2h zamawiam już któryś raz i zawsze zamówienie się spóźnia do tego gdy próbuje się skontaktować z lokalem to nie odbierają,always late delivery even at 2h I order one already and always order is late to it when I try to contact the premises they do not answer
844,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Дуже хороший заклад ,рекомендую","Bardzo dobra instytucja, polecam","Bardzo dobra instytucja, polecam","Very good institution, I recommend"
849,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Bardzo miła obsługa 😄,,Bardzo miła obsługa 😄,Very nice service.
851,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Przepyszny kebab. Dla mnie - najlepszy w mieście,,Przepyszny kebab. Dla mnie - najlepszy w mieście,Delicious kebab. For me - the best in town
852,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Jak zawsze  Dara Kebab na ul. Grunwaldzkiej. Najlepsze jedzenie, klimat i obsługa.  5 gwiazdek  !!",,"Jak zawsze  Dara Kebab na ul. Grunwaldzkiej. Najlepsze jedzenie, klimat i obsługa.  5 gwiazdek  !!","As always Dara Kebab on Grunwaldzka Street. Best food, climate and service. 5 stars!!"
854,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Najlepszy kebab w mieście,,Najlepszy kebab w mieście,The best kebab in town
859,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",2,Kebab lacked meat mainly salad,"W kebabie brakowało mięsa, głównie sałatki","W kebabie brakowało mięsa, głównie sałatki","Kebaba lacked meat, mostly salads"
862,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Mega dobry kebsik ale trochę więcej mięsa mogli by dawać,,Mega dobry kebsik ale trochę więcej mięsa mogli by dawać,Mega good kebsik but a little more meat they could give
866,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Bardzo smaczno i czysto)!,,Bardzo smaczno i czysto)!,Very tasty and clean)!
869,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Super,,Super,Great.
872,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Świetna obsługa i pyszne jedzenie,,Świetna obsługa i pyszne jedzenie,Great service and delicious food
873,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Skibidi,,Skibidi,Skibidi
877,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Przepyszne jedzenie,,Przepyszne jedzenie,Delicious food
882,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Smaczny kebab, genialna obsługa z poczuciem humoru 😁",,"Smaczny kebab, genialna obsługa z poczuciem humoru 😁","Tasty kebab, genius service with a sense of humor"
883,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Obsługa: jak by za karę pracował.
Jedzenie: frytki twarde jak kamień
Zimno w lokalu
20:30 28.03.2024",,"Obsługa: jak by za karę pracował.
Jedzenie: frytki twarde jak kamień
Zimno w lokalu
20:30 28.03.2024",Room service: as if he worked for punishment. Food: fries hard as stone Cold at the premises 20:30 28.03.2024
885,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Dara była niegdyś chyba najlepszym kebabem w Rzeszowie. W lokalu na ul. Obrońców jadałem od dnia otwarcia lokalu. Gdy w centrum Dara dawała coraz gorsze kebaby, to na Obrońców dalej były według mnie super i polecałem znajomym. Niestety i ten lokal jest już nic nie wart... Mięso chyba nie zawiera mięsa, rozlatuje się  w buzi jak pasztet, dziwne sosy, kostki w mięsie... No porażka jednym słowem. Zamawiam kebaba z frytkami a dostaję bez frytek. Dara już się skończyła. Z każdym lokalem jest coraz gorzej i już nikomu go nie polecę, bo wstyd. Sam również już tam nie zaglądnę. Ostatnimi miesiącami jadałem tylko z lokalu na Obrońców, a teraz trzeba będzie znaleźć w ogóle nowego kebsa. Nie polecam.",,"Dara była niegdyś chyba najlepszym kebabem w Rzeszowie. W lokalu na ul. Obrońców jadałem od dnia otwarcia lokalu. Gdy w centrum Dara dawała coraz gorsze kebaby, to na Obrońców dalej były według mnie super i polecałem znajomym. Niestety i ten lokal jest już nic nie wart... Mięso chyba nie zawiera mięsa, rozlatuje się  w buzi jak pasztet, dziwne sosy, kostki w mięsie... No porażka jednym słowem. Zamawiam kebaba z frytkami a dostaję bez frytek. Dara już się skończyła. Z każdym lokalem jest coraz gorzej i już nikomu go nie polecę, bo wstyd. Sam również już tam nie zaglądnę. Ostatnimi miesiącami jadałem tylko z lokalu na Obrońców, a teraz trzeba będzie znaleźć w ogóle nowego kebsa. Nie polecam.","Dara used to be the best kebab in Rzeszów. Unfortunately, this place is no longer worth anything... Meat doesn't contain meat, it falls apart like pate, weird sauces, cubes in meat... Well, failure in one word. I order a kebab with fries and I get no fries. Dara is already over. Every place is getting worse and I'm not going to recommend it anymore, because I'm not going to look at it myself. For the last few months I only ate from the Defender's place, and now I'm going to have to find a new kebs at all. I don't recommend it."
886,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,Kebab z tego miejsca kompletnie mi nie smakuje. Jeszcze parę tygodni po otwarciu było ok. teraz nie mogę tam nic zjeść. Jakieś to takie bez smaku i przygotowane na tzw. sztukę.,,Kebab z tego miejsca kompletnie mi nie smakuje. Jeszcze parę tygodni po otwarciu było ok. teraz nie mogę tam nic zjeść. Jakieś to takie bez smaku i przygotowane na tzw. sztukę.,Kebab from this place doesn't like it at all. A few weeks after opening it was ok. Now I can't eat anything there. Some of it is so tasteless and prepared for so-called art.
888,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"nie polecam kupowac tutaj kebaba, kebab w ciescie caly mokry, rozwala sie ze nie da sie go zjesc, mieso ma w sobie skrawki i sosu tyle ze sie czuje jakbym jadl zupe.
Odrazam",,"nie polecam kupowac tutaj kebaba, kebab w ciescie caly mokry, rozwala sie ze nie da sie go zjesc, mieso ma w sobie skrawki i sosu tyle ze sie czuje jakbym jadl zupe.
Odrazam","I don't recommend buying a kebab here, a kebab all wet, falling apart that you can't eat it, meat's got scraps and sauce so much that I feel like I'm eating soup."
890,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",4,"Data jak Dara, rzeszowska sieciówka. Lokal w miarę nowy więc czysto. Menu jak wszędzie indziej. Raz na jakiś czas lubię zjeść od nich kebaba.",,"Data jak Dara, rzeszowska sieciówka. Lokal w miarę nowy więc czysto. Menu jak wszędzie indziej. Raz na jakiś czas lubię zjeść od nich kebaba.","Data like Dara, a crowded network, so it's pretty new so clean. Menu like everywhere else. I like to eat kebabs from them once in a while."
891,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,Ok,,Ok,Okay.
895,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",5,"Dara kebab, bizden bir yer lezzetli ve kaliteli .
Dara kebab işte, 🤩","Dara Kebab to jedno z naszych miejsc, pyszne i wysokiej jakości.
To jest kebab Dara, 🤩","Dara Kebab to jedno z naszych miejsc, pyszne i wysokiej jakości.
To jest kebab Dara, 🤩","Dara Kebab is one of our places, delicious and high quality."
896,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"To co dzisiaj zjadłem to jakieś wielkie nieporozumienie. Mięso mało i bez smaku. Pita mokra - tłusta i rozwalająca się. Warzywa to jakaś breja zmieszana z sosem. Najlepiej jeść nad jakąś miską bo  ciężko opanować to coś co dostałem. Ostatni raz z tego miejsca, nie polecam, nie pozdrawiam.",,"To co dzisiaj zjadłem to jakieś wielkie nieporozumienie. Mięso mało i bez smaku. Pita mokra - tłusta i rozwalająca się. Warzywa to jakaś breja zmieszana z sosem. Najlepiej jeść nad jakąś miską bo  ciężko opanować to coś co dostałem. Ostatni raz z tego miejsca, nie polecam, nie pozdrawiam.","What I ate today is a big misunderstanding, but it's not much meat and tasteless meat. It's wet - it's fat and it's smashing. It's vegetables mixed with sauce. It's best to eat over some bowl because it's hard to master what I've got. Last time from this place, I don't recommend, I don't greet."
897,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",1,"Sugerowałem się opinią na google- 4* to powinno do czegoś zobowiązywać. Jakże się pomyliłem!!! Pita z mięsem i czymś co miało konsystencję zupo-surowki w środku. Sos na bazie kultowego ketchupu rodem z PRL (czyt.Miwex ). Mówi się że o gustach i smakach się nie dyskutuje, być może ten lokal nie trafia że smakiem w mój gust ale spodziewałem się czegoś smacznego patrząc na ocenę lokalu jak i jego wystrój- ZONK",,"Sugerowałem się opinią na google- 4* to powinno do czegoś zobowiązywać. Jakże się pomyliłem!!! Pita z mięsem i czymś co miało konsystencję zupo-surowki w środku. Sos na bazie kultowego ketchupu rodem z PRL (czyt.Miwex ). Mówi się że o gustach i smakach się nie dyskutuje, być może ten lokal nie trafia że smakiem w mój gust ale spodziewałem się czegoś smacznego patrząc na ocenę lokalu jak i jego wystrój- ZONK","I suggested an opinion on google-4* it should be committed to something. How wrong I was!! Pita with meat and something that had the soup-surrowing texture inside. Sauce based on iconic ketchup from the Polish People's Republic (read.Miwex). It is said that tastes and tastes are not discussed, perhaps this place does not find that taste in my taste but I expected something tasty looking at the evaluation of the place as well as its decor- ZONK"
899,Dara Kebab,Rzeszów,"Obrońców Poczty Gdańskiej 14, 35-509 Rzeszów, Polska",2,"Dlaczego nie wydawane są paragony? Już kilka razy tak było i nadal nie ma, tylko numery zamówień w innych lokalach tej firmy zawsze paragony są, ten lokal to taka plama na całej marce gdzie w lokalach obok rynku jest zawsze dobrze.",,"Dlaczego nie wydawane są paragony? Już kilka razy tak było i nadal nie ma, tylko numery zamówień w innych lokalach tej firmy zawsze paragony są, ten lokal to taka plama na całej marce gdzie w lokalach obok rynku jest zawsze dobrze.","Why aren't receipts issued? There have been several times already and still there isn't, only the order numbers in other premises of this company are always receipts, this place is such a stain on the whole brand where in the premises next to the market is always good."
900,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,super,Super,Super,Great.
905,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Pyszne jedzenie, zawsze sprawdzona świeżość i smak, przemiła obsługa 👍",,"Pyszne jedzenie, zawsze sprawdzona świeżość i smak, przemiła obsługa 👍","Delicious food, always tested freshness and taste, lovely service"
906,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Polecam :),,Polecam :),I recommend:)
908,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Dobry kebab, dobra miła obsługa wszystko elegancko",,"Dobry kebab, dobra miła obsługa wszystko elegancko","Good kebab, nice service everything elegantly"
909,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Polecam,,Polecam,I recommend
910,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Najlepsza obsługa na świecie. Jedzenie pyszne. I ceny przestępne☺️☺️,,Najlepsza obsługa na świecie. Jedzenie pyszne. I ceny przestępne☺️☺️,Best service in the world. Delicious food. And leap prices
911,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,świetna obsługa i znakomite jedzenie (pyszniutkie kebsiki)😝😝😝,,świetna obsługa i znakomite jedzenie (pyszniutkie kebsiki)😝😝😝,great service and excellent food (a delicious kebsics)
913,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Polecam :),,Polecam :),I recommend:)
918,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,"Spoko kebab, miła obsługa",,"Spoko kebab, miła obsługa","Cool kebab, nice service."
919,Dara kebab,Rzeszów,"Leska 2, 35-505 Rzeszów, Polska",5,Super obsługa smaczne jedzenie a przedewszystkim świeże,,Super obsługa smaczne jedzenie a przedewszystkim świeże,Super service tasty food and above all fresh
920,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",2,Kebab lacked meat mainly salad,"W kebabie brakowało mięsa, głównie sałatki","W kebabie brakowało mięsa, głównie sałatki","Kebaba lacked meat, mostly salads"
924,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Obsługa bardzo miła , kebab bardzo smaczny Polecam !",,"Obsługa bardzo miła , kebab bardzo smaczny Polecam !","Service very nice, kebab very tasty Recommend!"
929,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",3,"Spodziewałem się po opiniach czegoś lepszego. Średni kebab, a jakbym dostał malucha, smakowo przeciętnie. Nie polecam.",,"Spodziewałem się po opiniach czegoś lepszego. Średni kebab, a jakbym dostał malucha, smakowo przeciętnie. Nie polecam.","I was expecting something better from my opinions, a medium kebab, and as if I got a little guy on average."
930,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Zastaw na talerzu bardzo dobry, krótki czas oczekiwania i tanio . Polecam",,"Zastaw na talerzu bardzo dobry, krótki czas oczekiwania i tanio . Polecam","Bet on a plate very good, short waiting time and cheap. I recommend"
934,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,"Przepyszne jedzenie, ogromne porcje, które ciężko zjeść, co oczywiście jest na plus;)",,"Przepyszne jedzenie, ogromne porcje, które ciężko zjeść, co oczywiście jest na plus;)","Delicious food, huge portions that are hard to eat, which is obviously a plus;)"
935,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,Dobry rosół.,,Dobry rosół.,Good chicken soup.
938,Dara Kebab,Rzeszów,"Grunwaldzka 24, 35-068 Rzeszów, Polska",5,I liked it. Good food,Podobało mi się. Dobre jedzenie,Podobało mi się. Dobre jedzenie,I liked it.
